Day,Tips,Cash Amount,Sales,Number of Covers,Average Check Amount,Total Number of Checks
Monday,99.01,0,740.9,23,28.51,9
Tuesday,107.74,0,682.88,21,28.84,10
Tuesday,84.04,0,556.77,20,25.56,7
Tuesday,126.4,0,749.64,20,32.79,8
Thursday,53.84,0,319.8,7,41.49,3
Monday,115.54,0,657.37,23,25.29,14
Wednesday,59.17,0,370.65,14,24.77,7
Friday,69.88,0,444.1,10,39.44,5
Friday,122.15,42.58,833.76,23,32.24,18
Tuesday,78.52,0,481.12,13,32.75,8
Wednesday,73.03,0,448.54,14,28.35,9
Tuesday,108.33,0,644.02,21,26.99,10
Wednesday,91.94,166.37,708,22,28.51,12
Wednesday,73.38,0,463.94,12,34.29,5
Monday,88.01,0,578.09,20,27.32,7
Wednesday,110.95,76.85,782.44,26,26.63,15
Friday,43.04,0,307.67,10,28.38,4
Tuesday,55.46,0,331.7,12,24.48,8
Wednesday,62.92,0,366.4,14,23.93,6
Thursday,46.06,0,323.48,11,26.02,4
Tuesday,95.83,0,598.45,19,27.68,9
Thursday,50.16,19.21,347.71,13,23.93,9
Thursday,116.31,0,616.9,19,28.83,9
Tuesday,109.09,0,656.43,18,32.27,10
Sunday,166.43,80.45,1079.43,29,35.31,12
Wednesday,64.84,0,390.44,12,28.21,5
Tuesday,77.12,0,487.07,13,32.62,8
Friday,75.74,90.97,591.3,17,30.78,7
Wednesday,64.56,0,347.8,11,27.98,4
Monday,109.26,0,607.41,27,21.63,4
Friday,78.43,110.12,629.81,19,29.33,10
Wednesday,56.73,0,395.17,12,30.03,9
Sunday,173.99,0,1158.44,36,28.51,15
Wednesday,81.06,0,500.08,17,26.13,14
Tuesday,78.14,0,434.51,11,34.96,5